filename,r2_elv_l_rad,mae_elv_l_rad,mse_elv_l_rad,r2_N1s_rpm,mae_N1s_rpm,mse_N1s_rpm
flight_36729.csv,0.6448316491388819,0.0072054555639624596,8.947218884713948e-05,0.7774783356418992,4.427417755126953,29.01190757751465
flight_17553.csv,-2.6014999139040937,0.02443002536892891,0.0006456179544329643,0.8965673542143715,2.3129019737243652,8.704824447631836
flight_15208.csv,-0.5894526116022785,0.01784909889101982,0.0003763926215469837,0.4442010884044689,7.419290542602539,104.28585052490234
flight_19855.csv,-0.005107883797549118,0.017661912366747856,0.0003856726980302483,-2.826196550072338,11.461495399475098,190.9213104248047
flight_12695.csv,-0.36328625283198424,0.02228710427880287,0.000742875155992806,-1.878055075380336,13.425159454345703,273.2200622558594
flight_32619.csv,0.27607661796793814,0.0170338973402977,0.0005058534443378448,0.5534206621888254,4.443840503692627,31.221445083618164
flight_31872.csv,0.725957815369821,0.00879934336990118,0.00011387156700948253,0.5040619251584157,4.328185081481934,30.544771194458008
flight_10515.csv,-2.7626381265758,0.024149155244231224,0.0006465037004090846,0.779269973112537,4.320684432983398,28.559925079345703
flight_29640.csv,0.017040963161927603,0.010684291832149029,0.00018521260062698275,0.8329841649543837,3.7493813037872314,23.81192970275879
flight_39366.csv,-8.585932038681294,0.04289925843477249,0.0018877348629757762,-4.87401876791587,5.12135124206543,63.996856689453125
flight_39880.csv,-1.5615262208488394,0.025903763249516487,0.0008147495682351291,0.8982252216446105,3.190180778503418,14.684048652648926
flight_20048.csv,0.5380726150336665,0.011415217071771622,0.00020882830722257495,0.9059984578630089,3.316631317138672,15.827072143554688
flight_22498.csv,-85.53720390417006,0.11829863488674164,0.01411446649581194,0.7737757526052289,4.78507661819458,34.18555450439453
flight_34901.csv,-0.3149454542394563,0.011916844174265862,0.00024529604706913233,0.6731873926750489,3.804860830307007,42.556861877441406
flight_28073.csv,0.6187419970693204,0.006985262036323547,9.088344086194411e-05,0.8820436779547657,2.308891534805298,8.596551895141602
flight_29676.csv,-0.09078063321752139,0.017420697957277298,0.0004009607364423573,0.9187291363026087,2.596428632736206,12.7734956741333
flight_12319.csv,-1.7042448269614194,0.020110001787543297,0.0005412331083789468,0.21793316016835862,4.142402172088623,27.806659698486328
flight_15032.csv,-9.567258521335608,0.03854915127158165,0.0015329355373978615,0.783867120098534,4.323201656341553,28.522762298583984
